  0.00000E+00  2.16627E-05  2.04251E+01 -3.11776E-04
  3.44000E-01  1.00000E+00  1.00000E-04  1.23648E-09
  3.45000E-01  9.99999E-01  9.99999E-05 -1.53904E-09
  3.46000E-01  1.00000E+00  1.00000E-04 -9.74299E-10
  3.47000E-01  1.00000E+00  1.00000E-04 -4.33703E-09
  3.48000E-01  1.00000E+00  1.00001E-04  2.77334E-09
  3.49000E-01  1.00000E+00  9.99996E-05  4.74364E-09
  3.50000E-01  1.00000E+00  1.00000E-04 -2.41306E-09
  3.51000E-01  1.00000E+00  1.00000E-04  6.02567E-10
  3.52000E-01  1.00000E+00  1.00000E-04  9.74937E-12
  3.53000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.54000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.55000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.56000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.57000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.58000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.59000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.60000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.61000E-01  1.00000E+00  1.00000E-04 -7.76996E-17
  3.62000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.63000E-01  1.00000E+00  1.00000E-04  7.76996E-17
  3.64000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.65000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.66000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.67000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.68000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.69000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.70000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.71000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.72000E-01  1.00000E+00  1.00000E-04 -2.03162E-10
  3.73000E-01  1.00000E+00  1.00000E-04 -2.03202E-10
  3.74000E-01  1.00000E+00  1.00000E-04  2.83833E-10
  3.75000E-01  1.00000E+00  1.00000E-04 -1.09629E-09
  3.76000E-01  1.00000E+00  1.00000E-04  7.80040E-17
  3.77000E-01  1.00000E+00  1.00000E-04  1.16504E-09
  3.78000E-01  1.00000E+00  1.00000E-04  5.46191E-11
  3.79000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.80000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.81000E-01  1.00000E+00  1.00000E-04  3.04788E-10
  3.82000E-01  1.00000E+00  1.00000E-04  1.01582E-10
  3.83000E-01  1.00000E+00  1.00000E-04 -3.04545E-10
  3.84000E-01  1.00000E+00  1.00000E-04  2.03159E-10
  3.85000E-01  1.00000E+00  1.00000E-04 -1.59962E-16
  3.86000E-01  1.00000E+00  1.00000E-04 -3.04750E-10
  3.87000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.88000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.89000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.90000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.91000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.92000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.93000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.94000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.95000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.96000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.97000E-01  1.00000E+00  1.00000E-04  2.97068E-10
  3.98000E-01  1.00000E+00  1.00000E-04 -2.97264E-10
  3.99000E-01  1.00000E+00  1.00000E-04 -1.01560E-10
  4.00000E-01  1.00000E+00  1.00000E-04  1.01540E-10
  4.01000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  4.02000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  4.03000E-01  1.00000E+00  1.00000E-04 -2.02631E-10
  4.04000E-01  1.00000E+00  1.00000E-04 -5.20538E-08
  4.05000E-01  1.00000E+00  1.00000E-04 -1.69608E-06
  4.06000E-01  1.00000E+00  1.00446E-04 -1.16144E-10
  4.07000E-01  1.00000E+00  1.00000E-04  1.69599E-06
  4.08000E-01  1.00000E+00  1.00000E-04  5.23433E-08
  4.09000E-01  1.00000E+00  1.00000E-04  2.04572E-10
  4.10000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  4.11000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  4.12000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  4.13000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  4.14000E-01  1.00000E+00  1.00000E-04 -2.04429E-10
  4.15000E-01  1.00000E+00  1.00000E-04 -5.23253E-08
  4.16000E-01  1.00000E+00  1.00000E-04 -1.69653E-06
  4.17000E-01  1.00000E+00  1.00446E-04 -3.21889E-13
  4.18000E-01  1.00000E+00  1.00000E-04  1.69659E-06
